file,emotion,text
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav,hap,um . yes . it  was very romantic .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav,hap,it was at the slot machines .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav,hap,uhuh uhuh he won big and he and he realized that the only thing that would make it better was  me as his bride .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav,hap,yeah . well . you know because he's leaving the next day .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav,hap,but we're going to have a honeymoon cruise .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav,hap,oh . i hadn't even thought about that .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav,hap,oh totally .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav,hap,i guess i'll i guess i'll have an internet husband  {lg} .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav,hap,yeah . so . {lg} . he's calling me now .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav,hap,he likes to keep tabs . you know .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav,neu,uh . i  think seven hundred and fifty dollars .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav,neu,penny slots  that's what he plays .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav,hap,yeah . we played wheel of fortune pennies . it's like a giant thing with like .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav,neu,fifty bucks mmhmm .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav,hap,well so now we're married  we  have cat children .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav,hap,we renamed brenda  lumber janet .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav,hap,she needs a new name each state that we go into  {lg} .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav,neu,so what's up what's new .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav,neu,yeah i heard .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav,hap,who did you  marry .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav,neu,he turned to you and was like .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav,hap,{lg} that's really romantic .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav,neu,does that mean that you're going to get citizenship too in . in england or  whatever .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav,neu,yeah but he'll have like a long visa . can you go visit then for a long time .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav,hap,like you need another one of those {lg} .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav,hap,is . that . your phone .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav,hap,he loves you .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav,neu,how much did he win at the slot .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M019.wav,neu,i'm a big fan of the wheel of fortune quarters  but it just costs so much  i don't know .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M020.wav,neu,but the pennies always get you because you end up spending like you know . fifty bucks .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M021.wav,neu,like wait but it's just pennies you're like wait a minute i'm on to you .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M022.wav,hap,awesome .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M023.wav,hap,{lg} cat babies .
Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M024.wav,neu,that's fair enough .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F000.wav,neu,uh what . craig's list oh the internet thing .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F001.wav,neu,i don't know isn't that that's all like  escort services and things like that .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F005.wav,neu,he just .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F006.wav,neu,you know what i heard about that job i applied for that .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F009.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F013.wav,neu,i just i mean i call people up and i tell them what i'm good at .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F014.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F028.wav,ang,i'm not frustrated .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F029.wav,ang,who do you think you are .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F030.wav,ang,you are so high and mighty i just .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F031.wav,ang,oh i'm saving the environment i'm riding this car because i i want to .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F032.wav,ang,the bus i'm riding the bus because i  want to .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_F033.wav,ang,i can not you are not here by choice  nobody would ride this bus by choice .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M000.wav,neu,have you tried uh craig's list .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M001.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M002.wav,neu,no there's regular jobs on there .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M003.wav,neu,uh huh .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M004.wav,neu,i'm just saying i have a friend that got a good job on it so i was just recommending it .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M005.wav,neu,he's like a manager for a theatre .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M006.wav,neu,he's like a house manager yeah it's a good job .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,neu,you did .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M008.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M009.wav,neu,you've been looking for a job for a long time that was a long time ago right .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M010.wav,neu,hmm .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M011.wav,neu,i don't know he had a  really good resume i guess and .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M012.wav,neu,yeah do you  have a resume .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M013.wav,neu,it's kind of helpful when getting a job .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M014.wav,neu,well maybe we should sit down some time . and you can just tell me all the stuff that you have done . and i'll write it out .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M015.wav,neu,no you can or you can just bring it in person . but they need generally something to see you know what kind of what that you've done what kind of .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M016.wav,neu,yeah but the piece of paper helps too .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M017.wav,neu,no but it has an outline you know .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M018.wav,neu,i know . okay . well um  maybe .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M019.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M020.wav,neu,okay yeah i would imagine .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M021.wav,neu,well sometimes you have to do things that you don't necessarily like . to do to have a job  but the job affords you . money . you won't have to be taking the bus right now .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M022.wav,neu,maybe get a car .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M023.wav,neu,i . just  you know  think you should  try a little harder maybe .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M024.wav,neu,i didn't say that .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M025.wav,neu,i am riding the bus  but by choice .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M026.wav,neu,to save the environment carpool .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M027.wav,neu,yes  one less car at a time .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M028.wav,neu,mmhmm .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M031.wav,neu,i don't think i'm anyone .
Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M032.wav,neu,i i  i . didn't . okay .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F008.wav,ang,flight seven fourteen .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F009.wav,ang,am i going to be getting like free tickets free mileage  when can i expect my bag here .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F011.wav,ang,is this a joke .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F012.wav,ang,are there candid cameras is this that movie . there's that show right airplane airline .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F014.wav,ang,you're kidding me this is a joke .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F015.wav,ang,do you have any idea . fifty dollars that's supposed to replace everything that i have . do you understand how much i have packed in there  not only does  it have sentimental value it can't be replaced like  that  it was incredibly expensive .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F016.wav,ang,we flew in from paris  i've been shopping  for three weeks .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F017.wav,ang,i don't care what you're freaking sign  says . somebody somebody needs to replace  everything i've got there . and . give me money for my inconvenience .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F018.wav,ang,do you understand who my husband is .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F019.wav,ang,if you're if you're if you're looking for a lawsuit baby you've  found it .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F020.wav,ang,oh  oh . it's a gift you're you're helping me out here .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F021.wav,ang,you are cruising for a bruising you are in so much trouble .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F022.wav,ang,who's in charge . who is the president of jet blue .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F023.wav,ang,because i probably know him .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F024.wav,ang,yeah .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F025.wav,ang,i don't want money i want my clothes .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F026.wav,ang,what's your name .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F028.wav,ang,okay . i'll do that .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F029.wav,ang,i don't think you have done everything you could do because i don't have my bag here yet .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_F030.wav,ang,a letter . i'll make a personal phone call .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M000.wav,neu,hi thanks for waiting .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M001.wav,hap,can i help you .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M002.wav,hap,uh huh .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M003.wav,neu,okay .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M004.wav,neu,okay .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M005.wav,neu,okay great i'm . really sorry that you . had to do that what's your last name let's start there .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M006.wav,neu,okay .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M007.wav,neu,all right . okay . and you lost your bag  is that  that the issue .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M008.wav,neu,uh huh .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M009.wav,neu,yeah yeah i . don't see i  don't see . any .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M010.wav,neu,i don't see any record of it and i  usually when i don't see a record of it that means um .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M011.wav,neu,we've mistakenly lost your baggage  we're very sorry . on . behalf of jet blue i would like to apologize for any inconvenience  i am allowed to issue you a fifty  dollar  gift card which you can use . any  future flights you want to take with us  i'm very sorry once again .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M012.wav,neu,for such an inconvenience and your bag  but .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M013.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M014.wav,neu,no no .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M015.wav,neu,no no . this . is real .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M016.wav,neu,no i'm just giving you money  the bag is . gone  if it's not here i'm  really sorry there is nothing i can do because .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M017.wav,neu,this is the only track record that we have and if it's not listed here then it's  probably not  anywhere .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M019.wav,neu,yes .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M020.wav,neu,i know .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M022.wav,neu,okay . calm .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M023.wav,neu,actually we are not necessarily liable to . give . you to . even give you this fifty dollars so it's actually it's actually  really .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M024.wav,neu,we are actually not even . allowed you know like we don't have to give you this . fifty dollars we don't have to do that .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M025.wav,neu,it's a . gift .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M026.wav,neu,you know the airlines can not be held responsible for every . bag of luggage that comes through  here .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M027.wav,neu,with the amount of .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M028.wav,neu,um actually i don't know . i don't know . oh really .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M029.wav,neu,well then maybe you can just call him and he can . give you more money  but right now all i can . do .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M030.wav,neu,right now all i can do is just give you this fifty dollars i'm really sorry .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M031.wav,neu,oh my name is sean . hi .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M034.wav,neu,if you want  you  can write a letter i can give you the address  yes . an angry .
Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M035.wav,neu,or you can make a phone call but i think a letter might be a little more . in my impression . letters have  more .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F002.wav,sad,no .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F003.wav,neu,that's  sweet .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F004.wav,neu,thank you .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F005.wav,sad,i . went to see her headstone  a week or two ago .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F006.wav,sad,i used to go to cemeteries a lot  before she died . i just you . know  i felt . like they were urban oasis you . know there is always  this green  in the  city .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F007.wav,sad,so i was like wandering  around before it . takes forever to find her headstone . i always  lose it . you know .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F008.wav,sad,so i was looking at this other one . and there was like a piece of candy there  and i  thought that i would  take the candy and put it on her headstone  and .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F009.wav,neu,this woman  came  up  and  you know it was hers it . was her . person . that was there .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F010.wav,sad,yeah and she was like  that's pathetic  i  hope you enjoy it .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F011.wav,sad,and i you know i mean  i said i was sorry and i . brought it back  to her kind of and i . like . put it on the . ground and  she was . like . no  it's fine  she  was like i  would rather have her back  honestly .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F012.wav,sad,i don't know it just  like . i felt so bad because . i shouldn't have done . it  i don't  know  whatever .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F013.wav,sad,i don't know .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F014.wav,sad,at the cemetery .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F015.wav,sad,couple hours .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F016.wav,neu,i brought  i brought chuck with me  he went to redlands yeah . for the day . we ran through the sprinklers .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F018.wav,neu,yeah . it's . huge  redlands is . an old city . so they have lots and lots of stones .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F019.wav,neu,yeah .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F020.wav,sad,it's weird whenever i go back to town  i  think of her  i mean it's . like  i mean we grew up together  and  she died when we were twenty one . and yeah she had . cancer she had two brain tumors .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F021.wav,sad,my best friend heather . she's got a we have . a we built this like . little  there's a  park  prospect  park and there . is like a  garden section of it . that we set up  for  her .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F022.wav,sad,she used to have these  poetry parties  on memorial day .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F023.wav,sad,umm yeah .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F024.wav,sad,and the last time before she died i remember she  couldn't really stand umm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F025.wav,sad,but . i mean . she  could but it  was so it was kind of  sitting at her feet holding . her up and  she had these  poems she had memorized  and i remember looking up she had  curly red hair  and there was this palm tree right behind her and . it  was  like a . crown growing  right out . of her head it . was . cool .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F026.wav,sad,some i guess she memorized this . one john dunn . it's called death be not proud and .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F027.wav,neu,there's another one i can't remember .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_F028.wav,sad,i  remember too when we were . she died at u c l a . she  had . brain surgery and . there was  not much . hope . to begin  with . but . i gave blood  for her surgery  her mom and i  before so . we dropped her off in the waiting room and then we were giving blood and came back and she  in her wheelchair like can hardly do anything . reciting her poetry for these people like in the waiting room  all she needs is a god damn audience  you know .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M000.wav,sad,i'm sorry joy .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M001.wav,neu,is there anything i can get you do you want me . to . take care of anything for you or .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M002.wav,neu,pick up anything .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M003.wav,sad,you know you are welcome to stay at my house if you want to  just . check out  for a . couple days and hang out .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M004.wav,neu,hmm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M005.wav,neu,oh she was there .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M006.wav,neu,mmhmm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M007.wav,sad,yeah .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M008.wav,neu,how long were you there for .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M009.wav,neu,mmhmm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M010.wav,neu,oh really .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M011.wav,neu,you ran through the sprinklers in the cemetery .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M012.wav,neu,is it a big cemetery .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M013.wav,neu,oh so they're like really old too really  old ones .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M014.wav,neu,mmhmm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M015.wav,neu,mmhmm .
Session1/sentences/wav/Ses01F_impro06/Ses01F_impro06_M016.wav,neu,so she wrote a lot of poetry .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F000.wav,hap,yes . there's a  big envelope it says you're in i . know .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F002.wav,hap,i'm really excited yeah i don't know how i'm going to pay for anything  but i also yeah . loans too  yeah i applied though for a bunch of  grants and scholarships so i'm  still waiting to . hear on that .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F003.wav,hap,oh i know i know i know  i know .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F004.wav,hap,i don't know i . spend so much time commuting as it is i'd rather .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F005.wav,hap,i know we should  throw a party .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F009.wav,hap,yeah  i'm not sure .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F010.wav,hap,umm p h d  {lg} .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F012.wav,hap,so i get to mold young minds mrs that's . my . mother .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F013.wav,hap,i . would be . like oh right right . right .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_F016.wav,hap,i know i made such a mess of it the entire time the last three things i've done i've ruined everything i  think . mm . hmm yeah .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M000.wav,hap,did you get the letter .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M001.wav,hap,yeah that . is  so awesome .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M002.wav,hap,oh my god . what are you going to do {lg} .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M003.wav,hap,oh yeah i bet you're really excited . oh . that's  what loans . are for right  exactly .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M004.wav,hap,oh good good that's awesome are you going to stay around here . or are you going to like  get a different neighborhood you going to move to a different neighborhood .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M005.wav,hap,this is so i am so happy that you're going to stay you're not going to . we should totally throw a party .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M006.wav,hap,a rapper party  ho . yeah . okay .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M007.wav,hap,i am just yeah i'm sticking around i'm just doing my thing i'm living here . i'm so glad you're going . to stay i'm so glad you're going to . be here . yeah . woo .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M008.wav,hap,yeah . big time .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M009.wav,hap,mmhmm  mmhmm yay . so what major what are you doing .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M012.wav,neu,is this a masters or a p h d  or can . you nice .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M013.wav,neu,that's good don't . you have to like teach a class too when you do . that .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M014.wav,hap,teacher  mrs nash i have a question .
Session1/sentences/wav/Ses01F_impro07/Ses01F_impro07_M015.wav,hap,you  have to get married well you are married  to chuck you're mrs nash . not to . be confused with mrs dash . which is the popular  seasoning .
